Title,CompanyName,CompanyIndustry,CompanySize,VolunteerExperience,VolunteerEducation,CompanyLocation,CompanyPayment,CompanyWorktype,EmploymentType,Benefits,Link
사단법인 승리다문화비전센터 간사 모집 ,대한예수교장로회 승리교회,종교 단체,,관계없음,학력무관,"경기도   고양시  일산서구 송산로 486-30, 승리다문화교회 비전센터 (덕이동)","연봉
                  
                    
                      3,460만원
                    
                    
                  
                  
                  
                    
                      
                        ~ 3,460만원",주 6일 근무,기간의 정함이 있는 근로계약,식사제공(1식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151812403200053&rtnTarget=list10
"세척,페파,샌딩 큰물건포장 외 현장일 하실 분 구합니다 ",주식회사 명성정밀,일반용 도료 및 관련제품 제조업,중소기업,관계없음,학력무관,경기도   파주시  광탄면 수레길 302-1,"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,"기숙사제공
                    
                    
                    
                    
                      식사제공(중식비지급)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151822403200040&rtnTarget=list1
자동차부품 생산직 사원 모집(외국인가능) ,주식회사서인,그 외 자동차용 신품 부품 제조업,,관계없음,학력무관,광주광역시   광산구  하남산단7번로 139  (오선동),"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,식사제공(3식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K160042403200022&rtnTarget=list2
와이시피 특수강(주) 생산직 정규 사원 모집 ,와이시피특수강(주),강관 제조업,중소기업,관계없음,학력무관,부산광역시   강서구  화전산단5로 23  (화전동),"시급
                  
                    
                    
                      
                      10,500원
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,"기숙사제공
                    통근버스제공
                    
                    
                    
                      식사제공(2식)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130232403200056&rtnTarget=list3
하우스내 상추작업등 채소작업 ,황인조,"채소, 화훼 및 과실작물 시설 재배업",,관계없음,학력무관,전라북도   완주군  용진읍 상삼1길 13-7,"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                    이상",주 6일 근무,기간의 정함이 없는 근로계약,"기숙사제공
                    
                    
                    
                    
                      식사제공(1식)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K161132403200050&rtnTarget=list4
외국어 가능 퍼스널컬러 컨설턴트 모집 ,이미지호(주),경영 컨설팅업,중소기업,신입,대졸(2~3년) ~ 박사,"서울특별시   마포구  와우산로29길 54, 3층 (서교동)","연봉
                  
                    
                      3,000만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120312403200019&rtnTarget=list5
생산직 모집 ,모르리 가발,가발 및 유사 제품 제조업,,관계없음,학력무관,서울특별시   관악구  난우길 52  (신림동),"월급
                  
                    
                      210만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,식사제공(1식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KF10962403200002&rtnTarget=list6
"자동용접 견습공(현장 유경험자) 및 자동용접원(FC,GT,GM) 용접사 1명 (외국인 가능) ",우일인더스트리,금속가공제품 제조업; 기계 및 가구 제외,,"경력
	                 	
	                 	   (최소 1년 0 개월 이상)
	                  	
                  
                  우대",학력무관,부산광역시   강서구  녹산산업중로 52-22  (송정동),"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                    이상",주 6일 근무,기간의 정함이 없는 근로계약,식사제공(2식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130232403200025&rtnTarget=list7
버섯재배 포장 직원 채용 ,송암농장,작물 재배업,,관계없음,학력무관,경기도   여주시  금사면 금품2로 916-16,"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                    이상",주 6일 근무,기간의 정함이 없는 근로계약,기숙사제공,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151622403200002&rtnTarget=list8
생산직(단조 후처리)모집 ,경보단조,금속 단조제품 제조업,중소기업,관계없음,학력무관,경상남도   김해시  진례면 고모로526번길 31-26,"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                  
                    
                      
                      
                        ~ 12,000원",주 6일 근무,기간의 정함이 없는 근로계약,식사제공(2식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K131312403200028&rtnTarget=list9
공장 전반 단순노동 업무 채용 ,잣고개영농조합법인,기타 과실ㆍ채소 가공 및 저장 처리업,중소기업,관계없음,학력무관,강원특별자치도   홍천군  홍천읍 무궁화로2길 21-15,"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                  
                    
                      
                      
                        ~ 9,860원",주 5일 근무,기간의 정함이 없는 근로계약,식사제공(1식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K152122403200008&rtnTarget=list10
(월400이상) 외국인투어 전세버스 기사님 모십니다 ,주식회사 해성투어,전세버스 운송업,중소기업,신입,학력무관,"경기도   김포시  고촌읍 아라육로58번길 105, 아라우스 4층","월급
                  
                    
                      400만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151222403200026&rtnTarget=list1
"김밥,초밥 지단 생산직 사원을 모집합니다. ",(주)에그리아,그 외 기타 식료품 제조업,중소기업,관계없음,학력무관,경기도   안성시  공도읍 원승두길 114,"월급
                  
                    
                      220만원
                    
                    
                  
                  
                  
                    
                      
                        ~ 240만원",주 6일 근무,기간의 정함이 없는 근로계약,식사제공(1식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151722403200010&rtnTarget=list2
주간주방직원모집 ,맛보등대가토종순대국,한식 일반 음식점업,중소기업,관계없음,학력무관,서울특별시   중랑구  사가정로52길 1-4  (면목동),"월급
                  
                    
                      310만원
                    
                    
                  
                  
                    이상",주 6일 근무,기간의 정함이 없는 근로계약,식사제공(2식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K120512403200013&rtnTarget=list3
"빵,과자 제조 생산직 모집 ",주식회사한영식품,빵류 제조업,,관계없음,학력무관,"전라남도   나주시  동수농공단지길 62-151, (주)한영식품 (운곡동)","시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                    이상",주 6일 근무,기간의 정함이 없는 근로계약,"기숙사제공
                    통근버스제공
                    
                    
                    
                      식사제공(2식)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K160092403200004&rtnTarget=list4
[계약직] 외국인 사업부장 통번역사 채용 ,,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/list/dtlEmpSrchList.do?srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&pageIndex=4#none
롯데 부여리조트 객실청소원(룸메이드) 모집 ,주식회사더맨,상용 인력 공급 및 인사관리 서비스업,중소기업,관계없음,학력무관,충청남도   부여군  규암면 백제문로 400,"월급
                  
                    
                      225만원
                    
                    
                  
                  
                  
                    
                      
                        ~ 235만원",주 5일 근무,기간의 정함이 없는 근로계약,"통근버스제공
                    
                    
                    
                      식사제공(1식)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K172222403200007&rtnTarget=list6
글로벌투자서비스팀_해외 주식 법인 영업 업무 경력직 인재 채용 ,,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/list/dtlEmpSrchList.do?srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&pageIndex=4#none
동남아 인바운드 여행사 신입 및 경력직 채용 ,,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CSI&iorgGbcd=CSI&callPage=detail&wantedAuthNo=47826687&rtnTarget=list8&pageIndex=4&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&regionArr=[Ljava.lang.String;@1acbb5b3&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&codeDepth1Info=11000&codeDepth2Info=11000&srchJobNum=0&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=10&keyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&&onlyTitleSrchYn=N
"외국인 채용/ 납품, 창고직 모집 ",,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CSI&iorgGbcd=CSI&callPage=detail&wantedAuthNo=47826246&rtnTarget=list9&pageIndex=4&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&regionArr=[Ljava.lang.String;@1acbb5b3&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&codeDepth1Info=11000&codeDepth2Info=11000&srchJobNum=0&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=10&keyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&&onlyTitleSrchYn=N
마케팅 에이전시 경리/회계팀 직원 모집 ,,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CSI&iorgGbcd=CSI&callPage=detail&wantedAuthNo=47821828&rtnTarget=list10&pageIndex=4&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&regionArr=[Ljava.lang.String;@1acbb5b3&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&codeDepth1Info=11000&codeDepth2Info=11000&srchJobNum=0&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=10&keyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&&onlyTitleSrchYn=N
[제주출입국외국인청]2024년 제1회 기간제근로자(보안관리원) 채용 공고 ,,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/detail/retriveNaraAlioJobDtlVw.do?searchInfoType=GOJ&empInfoGbn=GOJ&empSeq=218354&callPage=detail&rtnTarget=list1&pageIndex=5&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&regionArr=[Ljava.lang.String;@6d6980d4&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&codeDepth1Info=11000&codeDepth2Info=11000&srchJobNum=0&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=10&keyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&&onlyTitleSrchYn=N
[광주출입국외국인사무소] 2024년도 제1회 기간제근로자(전기원) 채용 재공고 ,,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/detail/retriveNaraAlioJobDtlVw.do?searchInfoType=GOJ&empInfoGbn=GOJ&empSeq=218410&callPage=detail&rtnTarget=list2&pageIndex=5&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&regionArr=[Ljava.lang.String;@6d6980d4&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&codeDepth1Info=11000&codeDepth2Info=11000&srchJobNum=0&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=10&keyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&&onlyTitleSrchYn=N
평택청북]상여200프로/반도체세정/ 하루 실근무5시간30분/주간고정 ,,,,,,,,,,,https://www.work.go.kr/empInfo/empInfoSrch/detail/retrivePriEmpDtlView.do?searchInfoType=CIN&iorgGbcd=CIN&callPage=detail&wantedAuthNo=2403200000456&rtnTarget=list3&pageIndex=5&rtnUrl=/empInfo/empInfoSrch/list/dtlEmpSrchList.do?len=0&srcKeyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&regionArr=[Ljava.lang.String;@6d6980d4&pageSize=10&firstIndex=1&lastIndex=1&recordCountPerPage=10&siteClcd=all&benefitSrchAndOr=O&areaRegion=11000&areaArc=1&codeDepth1Info=11000&codeDepth2Info=11000&srchJobNum=0&empTpGbcd=1&sortField=DATE&sortOrderBy=DESC&resultCnt=10&keyword=%EC%99%B8%EA%B5%AD%EC%9D%B8&&onlyTitleSrchYn=N
경리 사무원 모집합니다. ,(주)강한스틸,그 외 기타 1차 철강 제조업,중소기업,"경력
	                 	
	                 	   (최소 2년 0 개월 이상)
	                  	
                  필수",학력무관,충청북도   진천군  덕산읍 인화길 152-1,"연봉
                  
                    
                      3,400만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,"차량유지비제공
                    
                    
                      식사제공(1식)",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K171112403190074&rtnTarget=list4
"생산직 사원 모집 (조립, 생산 보조) ",(주)삼익브리즈,공기 조화장치 제조업,중소기업,관계없음,학력무관,충청남도   아산시  음봉면 음봉로 352,"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                  
                    
                      
                      
                        ~ 9,860원",주 5일 근무,기간의 정함이 없는 근로계약,식사제공(1식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K172122403190028&rtnTarget=list5
플라스틱 제조 단순 생산직원 모집 ,주식회사 팩앤팩,인쇄용 및 필기용 원지 제조업,,관계없음,학력무관,충청남도   금산군  추부면 신평공단1로 124,"시급
                  
                    
                    
                      
                      9,860원
                    
                  
                  
                  
                    
                      
                      
                        ~ 9,860원",주 5일 근무,기간의 정함이 없는 근로계약,식사제공(1식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K170052403190055&rtnTarget=list6
"관리팀 신입/경력사원 모집(회계,총무) ",(주)보라테크,플라스틱 필름 제조업,중소기업,관계없음,고졸 ~ 대졸(4년),경기도   용인시  처인구 이동읍 백옥대로 664-26,"연봉
                  
                    
                      3,000만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,"기숙사제공
                    
                    
                    
                    
                      식사제공(2식)
                    
                    자녀학자금지원
                    
                    직원대출제도",https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K151132403190074&rtnTarget=list7
"2024년 제1회 기간제근로자(보호경비대원, 육아휴직 대체)채용 재공고 ",법무부화성외국인보호소,기타 사법 및 공공질서 행정,,관계없음,학력무관,"경기도   화성시  마도면 화성로 739, 화성외국인보호소","월급
                  
                    
                      210만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 있는 근로계약,,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=KN50082403190002&rtnTarget=list8
인사/총무(정규직) ,(주)전성,승용차 및 기타 여객용 자동차 제조업,중소기업,관계없음,고졸 ~ 대졸(4년),"충청북도   충주시  대소원면 첨단산업1로 146, (주)전성","연봉
                  
                    
                      3,000만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 없는 근로계약,,https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K171222403190024&rtnTarget=list9
포항-영덕 고속도로 5공구 중 토공 및 철근콘크리트 2구간 현장 사무보조 채용 ,천지개발(주),건설업본사,중소기업,관계없음,학력무관,"경상북도   영덕군  남정면 남정중화길 324, 천지개발(주)현장 사무실","월급
                  
                    
                      220만원
                    
                    
                  
                  
                    이상",주 5일 근무,기간의 정함이 있는 근로계약,식사제공(1식),https://www.work.go.kr/empInfo/empInfoSrch/detail/empDetailAuthView.do?searchInfoType=VALIDATION&callPage=detail&wantedAuthNo=K130112403190072&rtnTarget=list10
