JobTitle,JobVolunteerExperience,RequiredExperienceMonths,PreferredExperienceMonths,JobVolunteerEducation,WeeklyWorkdays,Workdays,JobPayment,MinMonthlyPayment,MaxMonthlyPayment,JobContractType,JobBenefits,CompanyName,CompanyIndustry,CompanySize,CompanyLocation
"세척,페파,샌딩 큰물건포장 외 현장일 하실 분 구합니다 ",관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,기숙사제공 식사제공(중식비지급),주식회사 명성정밀,일반용 도료 및 관련제품 제조업,중소기업,경기도   파주시  광탄면 수레길 302-1
자동차부품 생산직 사원 모집(외국인가능) ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,식사제공(3식),주식회사서인,그 외 자동차용 신품 부품 제조업,,광주광역시   광산구  하남산단7번로 139  (오선동)
와이시피 특수강(주) 생산직 정규 사원 모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 10,500원 이상",1680000.0,,기간 무정함,기숙사제공 통근버스제공 식사제공(2식),와이시피특수강(주),강관 제조업,중소기업,부산광역시   강서구  화전산단5로 23  (화전동)
하우스내 상추작업등 채소작업 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,기숙사제공 식사제공(1식),황인조,"채소, 화훼 및 과실작물 시설 재배업",,전라북도   완주군  용진읍 상삼1길 13-7
외국어 가능 퍼스널컬러 컨설턴트 모집 ,신입,,,대졸(2~3년) ~ 박사,주 5일 근무,5,"연봉 3,000만원 이상",2500000.0,,기간 무정함,,이미지호(주),경영 컨설팅업,중소기업,"서울특별시   마포구  와우산로29길 54, 3층 (서교동)"
생산직 모집 ,관계없음,,,학력무관,주 5일 근무,5,월급 210만원 이상,2100000.0,,기간 무정함,식사제공(1식),모르리 가발,가발 및 유사 제품 제조업,,서울특별시   관악구  난우길 52  (신림동)
"자동용접 견습공(현장 유경험자) 및 자동용접원(FC,GT,GM) 용접사 1명 (외국인 가능) ",경력 (최소 1년 0 개월 이상) 우대,,12,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,식사제공(2식),우일인더스트리,금속가공제품 제조업; 기계 및 가구 제외,,부산광역시   강서구  녹산산업중로 52-22  (송정동)
버섯재배 포장 직원 채용 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,기숙사제공,송암농장,작물 재배업,,경기도   여주시  금사면 금품2로 916-16
생산직(단조 후처리)모집 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 ~ 12,000원",1577600.0,1920000.0,기간 무정함,식사제공(2식),경보단조,금속 단조제품 제조업,중소기업,경상남도   김해시  진례면 고모로526번길 31-26
공장 전반 단순노동 업무 채용 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함,식사제공(1식),잣고개영농조합법인,기타 과실ㆍ채소 가공 및 저장 처리업,중소기업,강원특별자치도   홍천군  홍천읍 무궁화로2길 21-15
(월400이상) 외국인투어 전세버스 기사님 모십니다 ,신입,,,학력무관,주 5일 근무,5,월급 400만원 이상,4000000.0,,기간 무정함,,주식회사 해성투어,전세버스 운송업,중소기업,"경기도   김포시  고촌읍 아라육로58번길 105, 아라우스 4층"
"김밥,초밥 지단 생산직 사원을 모집합니다. ",관계없음,,,학력무관,주 6일 근무,6,월급 220만원 ~ 240만원,2200000.0,2400000.0,기간 무정함,식사제공(1식),(주)에그리아,그 외 기타 식료품 제조업,중소기업,경기도   안성시  공도읍 원승두길 114
주간주방직원모집 ,관계없음,,,학력무관,주 6일 근무,6,월급 310만원 이상,3100000.0,,기간 무정함,식사제공(2식),맛보등대가토종순대국,한식 일반 음식점업,중소기업,서울특별시   중랑구  사가정로52길 1-4  (면목동)
"빵,과자 제조 생산직 모집 ",관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,기숙사제공 통근버스제공 식사제공(2식),주식회사한영식품,빵류 제조업,,"전라남도   나주시  동수농공단지길 62-151, (주)한영식품 (운곡동)"
[계약직] 외국인 사업부장 통번역사 채용 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
롯데 부여리조트 객실청소원(룸메이드) 모집 ,관계없음,,,학력무관,주 5일 근무,5,월급 225만원 ~ 235만원,2250000.0,2350000.0,기간 무정함,통근버스제공 식사제공(1식),주식회사더맨,상용 인력 공급 및 인사관리 서비스업,중소기업,충청남도   부여군  규암면 백제문로 400
글로벌투자서비스팀_해외 주식 법인 영업 업무 경력직 인재 채용 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
동남아 인바운드 여행사 신입 및 경력직 채용 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
"외국인 채용/ 납품, 창고직 모집 ",관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
마케팅 에이전시 경리/회계팀 직원 모집 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[제주출입국외국인청]2024년 제1회 기간제근로자(보안관리원) 채용 공고 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[광주출입국외국인사무소] 2024년도 제1회 기간제근로자(전기원) 채용 재공고 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
평택청북]상여200프로/반도체세정/ 하루 실근무5시간30분/주간고정 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
경리 사무원 모집합니다. ,경력 (최소 2년 0 개월 이상) 필수,24,,학력무관,주 5일 근무,5,"연봉 3,400만원 이상",2833333.0,,기간 무정함,차량유지비제공 식사제공(1식),(주)강한스틸,그 외 기타 1차 철강 제조업,중소기업,충청북도   진천군  덕산읍 인화길 152-1
"생산직 사원 모집 (조립, 생산 보조) ",관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함,식사제공(1식),(주)삼익브리즈,공기 조화장치 제조업,중소기업,충청남도   아산시  음봉면 음봉로 352
플라스틱 제조 단순 생산직원 모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함,식사제공(1식),주식회사 팩앤팩,인쇄용 및 필기용 원지 제조업,,충청남도   금산군  추부면 신평공단1로 124
"관리팀 신입/경력사원 모집(회계,총무) ",관계없음,,,고졸 ~ 대졸(4년),주 5일 근무,5,"연봉 3,000만원 이상",2500000.0,,기간 무정함,기숙사제공 식사제공(2식) 자녀학자금지원 직원대출제도,(주)보라테크,플라스틱 필름 제조업,중소기업,경기도   용인시  처인구 이동읍 백옥대로 664-26
"2024년 제1회 기간제근로자(보호경비대원, 육아휴직 대체)채용 재공고 ",관계없음,,,학력무관,주 5일 근무,5,월급 210만원 이상,2100000.0,,기간 정함,,법무부화성외국인보호소,기타 사법 및 공공질서 행정,,"경기도   화성시  마도면 화성로 739, 화성외국인보호소"
인사/총무(정규직) ,관계없음,,,고졸 ~ 대졸(4년),주 5일 근무,5,"연봉 3,000만원 이상",2500000.0,,기간 무정함,,(주)전성,승용차 및 기타 여객용 자동차 제조업,중소기업,"충청북도   충주시  대소원면 첨단산업1로 146, (주)전성"
포항-영덕 고속도로 5공구 중 토공 및 철근콘크리트 2구간 현장 사무보조 채용 ,관계없음,,,학력무관,주 5일 근무,5,월급 220만원 이상,2200000.0,,기간 정함,식사제공(1식),천지개발(주),건설업본사,중소기업,"경상북도   영덕군  남정면 남정중화길 324, 천지개발(주)현장 사무실"
"경리,회계직 유경험자 사원 모집 ",경력 (최소 10년 0 개월 이상) 필수,120,,학력무관,주 5일 근무,5,"연봉 3,200만원 이상",2666666.0,,기간 무정함,기숙사제공 식사제공(1식),주식회사석무,그 외 기타 플라스틱 제품 제조업,,"경기도   연천군  전곡읍 양연로 578, ."
"CNC선반 조작원, MCT 조작원 모집(초보가능) ",관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,기숙사제공 식사제공(2식),(주)한주,그 외 자동차용 신품 부품 제조업,중소기업,"경상북도   성주군  성주읍 성주산업단지로5길 104, (주)한주"
양돈사양관리 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,,두리농장,양돈업,,전북특별자치도   임실군  운암면 임운로 1772-53
생산직 및 포장 사원 모집 ,관계없음,,,학력무관,주 5일 근무,5,월급 220만원 ~ 300만원,2200000.0,3000000.0,기간 무정함,기숙사제공 차량유지비제공 식사제공(1식),다빛농산,그 외 기타 식료품 제조업,,경기도   평택시  청북읍 청북중앙로 796
mct 단순 생산원 모집. Mencari pekerja sederhana. ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,식사제공(1식),용일산업,자동차용 엔진 제조업,,"대구광역시   달서구  달구벌대로240길 25, 용일산업"
법랑제조 관련 단순 종사원 모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함,식사제공(1식),한국법랑 주식회사,가정용 비전기식 조리 및 난방 기구 제조업,중소기업,경상남도   김해시  분성로569번길 40  (어방동)
농사 쪽파 작업 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 ~ 10,000원",1577600.0,1600000.0,기간 정함,,최선만,작물재배 및 축산 복합농업,,충청남도   아산시  도고면 도고산로 179
[주간/야간고정] 계란지단 단순 포장 사원 모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함,통근버스제공 식사제공(2식),(주)피너씨앤텍,상용 인력 공급 및 인사관리 서비스업,,충청북도   진천군  이월면 궁동길 51-21
농업관련 단순노무자 모집 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 정함,,워크맨,시설작물 재배업,,"경기도   이천시  장호원읍 어석로 119-35, ."
대기업 골판지 상자 및 원단 생산직 인턴사원 모집 ,관계없음,,,고졸,주 5일 근무,5,"시급 10,600원 이상",1696000.0,,기간 무정함,기숙사제공 통근버스제공 교육비제공 식사제공(3식) 자녀학자금지원,대영포장(주)발안공장,"펄프, 종이 및 종이제품 제조업",,경기도   화성시  장안면 수정로 273
출하검사 작업자 정규직 모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,식사제공(2식) 자녀학자금지원,우성산업,그 외 자동차용 신품 부품 제조업,,"경상남도   함안군  칠원읍 석전3길 35, 우성산업"
비철금속 제련업 기계설비 유지보수(용접) 경력/신입 채용공고 ,관계없음,,,학력무관,주 5일 근무,5,월급 300만원 ~ 400만원,3000000.0,4000000.0,기간 정함,차량유지비제공 식사제공(3식) 자녀학자금지원,(주)상신금속,"연 및 아연 제련, 정련 및 합금 제조업",중견기업,"경기도   안산시  단원구 번영1로 96, 상신금속 (성곡동, 시화공단4마402-2)"
농업단순노무자 모집 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,,서율농장,작물 재배업,,"경기도   여주시  북내면 내룡길 33, 내룡리 198-2, 67-1"
홀서빙 및 주방보조 채용 ,관계없음,,,학력무관,주 5일 근무,5,월급 210만원 이상,2100000.0,,기간 정함,식사제공(1식),약선공양간,한식 일반 음식점업,,"충청남도   예산군  덕산면 수덕사안길 33-13, 1층"
성폭력ㆍ가정폭력상담원 채용공고 ,관계없음,,,학력무관,주 5일 근무,5,월급 214만원 ~ 214만원,2140000.0,2140000.0,기간 무정함,,사단법인부산성폭력상담소,협회 및 단체,기타,"부산광역시   동래구  중앙대로 1523, A3동 05,06호 (온천동)"
제관 용접 기술자 모집 ,경력 (최소 10년 0 개월 이상) 필수,120,,학력무관,주 5일 근무,5,월급 350만원 ~ 400만원,3500000.0,4000000.0,기간 정함,식사제공(1식),동광테크,그 외 기타 특수목적용 기계 제조업,중소기업,경상남도   김해시  김해대로2635번길 53-4  (안동)
제조 단순생산직 사원모집 ,관계없음,,,학력무관,주 5일 근무,5,월급 220만원 이상,2200000.0,,기간 무정함,식사제공(1식),엠에이치스틸,철강선 제조업,,"경기도   화성시  마도면 해운로 621, 엠에이치스틸"
철선제조업 생산직 모집 ,관계없음,,,학력무관,주 5일 근무,5,월급 220만원 이상,2200000.0,,기간 무정함,식사제공(1식),(주)예호철강,철강선 제조업,,경기도   화성시  마도면 해운로 621
가남농협 영농중개인 모집 ,관계없음,,,학력무관,주 6일 근무,6,월급 324만원 ~ 337만원,3240000.0,3370000.0,기간 정함,기숙사제공,(주)농협파트너스,상용 인력 공급 및 인사관리 서비스업,대기업,"경기도   여주시  가남읍 태평중앙1길 8-12, 가남농협"
코다리 생산 ,관계없음,,,학력무관,주 5일 근무,5,월급 220만원 ~ 230만원,2200000.0,2300000.0,기간 정함,통근버스제공 식사제공(1식),오렌지수산(주),수산동물 건조 및 염장품 제조업,중소기업,경기도   김포시  대곶면 율마로152번길 51
생산직 채용모집(종이제품 생산기계 조작원모집) ,관계없음,,,학력무관,주 5일 근무,5,월급 230만원 이상,2300000.0,,기간 무정함,식사제공(1식),한림포장,골판지 상자 및 가공제품 제조업,중소기업,경기도   안성시  고삼면 미륵로 302-20
생산관리 업무보조(관리자) ,관계없음,,,학력무관,주 5일 근무,5,월급 250만원 ~ 300만원,2500000.0,3000000.0,기간 무정함,기숙사제공 통근버스제공 식사제공(2식),삼진정밀(주),그 외 자동차용 신품 부품 제조업,중소기업,경상남도   창녕군  장마면 영산장마로 53
생산직 사원모집 ,관계없음,,,학력무관,주 5일 근무,5,월급 206만원 이상,2060000.0,,기간 무정함,통근버스제공 식사제공(1식),금강기술산업,그 외 기타 분류 안된 비금속 광물제품 제조업,중소기업,경상남도   양산시  그린공단3길 69  (매곡동)
양식장 직원 채용 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,기숙사제공 식사제공(3식),대양수산,양식 어업,중소기업,"경상북도   포항시  남구 장기면 동해안로 3030, ."
[양산덕계그린공단 태화]자동차 부품 생산직 사원 모집 [채용대행 중] ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,통근버스제공 식사제공(1식),주식회사태화,도장 및 기타 피막처리업,중소기업,"경상남도   양산시  그린공단3길 77, 태화 (매곡동)"
선원모집 ,관계없음,,,학력무관,주 6일 근무,6,"시급 9,860원 이상",1577600.0,,기간 무정함,,제501강룡호,내수면 어업,기타,경상북도   포항시  남구 구룡포읍 구룡포길 66-14
도장공장 보조공 및 보조(조공)모집합니다. ,관계없음,,,학력무관,주 6일 근무,6,"일급 100,000원 ~ 200,000원",2000000.0,4000000.0,기간 무정함,식사제공(1식),한국도장 주식회사,도장 및 기타 피막처리업,중소기업,전라북도   군산시  자유무역로 73  (오식도동)
생산직 모집 ,관계없음,,,고졸 ~ 대졸(2~3년),주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,식사제공(2식),유유정밀,자동차 및 트레일러 제조업,,"충청남도   보령시  주교면 배다리길 116-17, 유유정밀"
"한솔정공 (용접가능자,판금이나 특장기술 배우실 분 )모집합니다. ",관계없음,,,학력무관,주 6일 근무,6,월급 250만원 ~ 300만원,2500000.0,3000000.0,기간 무정함,식사제공(1식),주식회사 한솔정공,차체 및 특장차 제조업,,충청남도   천안시  서북구 입장면 위례산길 75
지게차 운전원 모집합니다. ,관계없음,,,학력무관,주 5일 근무,5,"일급 140,000원 이상",2800000.0,,기간 무정함,식사제공(1식),다인안전산업,강선 건조업,중소기업,"울산광역시   동구  방어진순환도로 1000  (전하동, 현대중공업)"
"닭고기 절단 및 손질, 삼계탕 작업 장기근무자 구합니다(경력우대) ",경력 (최소 0년 3 개월 이상) 우대,,3,학력무관,주 4일 근무,4,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함(파트타임),,농업회사법인주식회사참나라,가금류 가공 및 저장 처리업,중소기업,경기도   고양시  덕양구 신평길 8  (토당동)
행정비서직 직원 모집 (영어회화 가능자) ,관계없음,,,학력무관,주 5일 근무,5,"연봉 2,800만원 ~ 3,600만원",2333333.0,3000000.0,기간 무정함,기숙사제공 교육비제공 식사제공(1식),의료법인현암의료재단포항우리병원,일반 병원,중소기업,경상북도   포항시  북구 포스코대로 256  (죽도동)
때밀이 원단 제직관련 생산직 2교대 모집(외국인 지원가능) ,관계없음,,,학력무관,주 5일 근무,5,"시급 10,000원 ~ 10,000원",1600000.0,1600000.0,기간 무정함,통근버스제공 식사제공(1식),송월텍스타일,직물제품 제조업,,경상남도   양산시  북정공단1길 60  (북정동)
타월원단 제직관련 생산직 2교대 모집(외국인 지원가능) ,관계없음,,,학력무관,주 5일 근무,5,"시급 10,000원 ~ 10,000원",1600000.0,1600000.0,기간 무정함,통근버스제공 식사제공(1식),송월텍스타일,직물제품 제조업,,경상남도   양산시  북정공단1길 60  (북정동)
"인사, 총무 경력자 채용 ",경력 (최소 2년 0 개월 이상) 필수,24,,학력무관,주 5일 근무,5,"연봉 3,000만원 ~ 4,200만원",2500000.0,3500000.0,기간 무정함,식사제공(2식),주식회사엠에스엘,그 외 자동차용 신품 부품 제조업,중소기업,경상북도   성주군  용암면 사곡공단2길 22
생산직구인합니다 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,차량유지비제공 식사제공(1식),주식회사 대한하이베링(지점),자동차 차체용 신품 부품 제조업,,"경기도   안산시  단원구 해안로 242, 대솔아이엠 (內 대한하이베링)"
비닐 에어캡생산직 모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 10,000원 이상",1600000.0,,기간 무정함,차량유지비제공 식사제공(1식),대하지앤피,고무 및 플라스틱제품 제조업,,경상북도   경주시  외동읍 구어공단길 9
생산직(조립)모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,식사제공(1식),주식회사 경원테크,그 외 자동차용 신품 부품 제조업,중소기업,충청남도   아산시  신창면 서부북로 362
2024년 유초등 영어교사 및 유아교육교사 모집 ,경력 (최소 1년 0 개월 이상) 우대,,12,대졸(2~3년) ~ 석사,주 5일 근무,5,월급 220만원 ~ 220만원,2200000.0,2200000.0,기간 무정함,,(주) 시오엠,외국어학원,,"대구광역시   수성구  상록로11길 88, 1,2층 (범어동)"
연심라인 생산직 사원 모집 ,관계없음,,,고졸 ~ 대졸(4년),주 6일 근무,6,"연봉 2,700만원 ~ 3,000만원",2250000.0,2500000.0,기간 무정함,식사제공(2식),(주)진성엠텍,그 외 기타 특수목적용 기계 제조업,,"경상남도   김해시  진례면 서부로 909-32, (산본리 137)"
"사무실 매입매출, 자재출납 관련 경리사무원 모집 ",관계없음,,,학력무관,주 5일 근무,5,월급 238만원 이상,2380000.0,,기간 정함,기숙사제공 식사제공(1식),진경포장,플라스틱 필름 제조업,,"대구광역시   달성군  유가읍 테크노중앙대로 2, 진경포장"
[주간고정]초콜릿 단순 생산 및 포장 모집(잔업 없음) ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함,차량유지비제공 식사제공(1식),(주)피너,상용 인력 공급 및 인사관리 서비스업,,충청북도   음성군  대소면 된말길 10-9
고춧가루 제조 관련 생산 및 포장 ,관계없음,,,학력무관,주 5일 근무,5,월급 280만원 ~ 310만원,2800000.0,3100000.0,기간 정함,식사제공(1식),청솔식품,천연 및 혼합조제 조미료 제조업,중소기업,경기도   안성시  대덕면 쇠금장길 49
자동차 부품 제조 프레스 조작원 및 생산직 모집 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,860원",1577600.0,1577600.0,기간 무정함,식사제공(1식),(주)라임,자동차 차체용 신품 부품 제조업,,"경상북도   칠곡군  왜관읍 3산업단지2길 81, 1층 라임"
[외국인비서또는통역경력자채용] 대기업 SK계열사 외국인 비서 자체직 채용 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[청주출입국‧외국인사무소] 2024년 제1회 청주출입국‧외국인사무소 청년인턴 채용 공고 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[춘천출입국·외국인사무소] 2024년도 제1회 청년인턴 채용 공고(재공고) ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
2024년도 제1회 안산출입국.외국인사무소 청년인턴 채용 재공고 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[수원출입국·외국인청 평택출장소] 2024년 제1회 청년인턴 채용 재공고 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[음성 삼성면]편안한 복장/쾌적한 환경/주급가능 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[음성 대소면]통근운행/주급가능/생산직 모집 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[화성시외국인복지센터] 사회복지사 채용 (육아휴직대체) ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
외국인학교 Art Technician 모집 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
"[경력무관] 외국인 전문 엔터테인먼트 회사, 사무직 ",관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
BGN 밝은눈안과(잠실롯데타워)해외마케팅(영어필수) ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[대전출입국외국인사무소 및 천안출장소] 2024년도 제1회 청년인턴 채용공고 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
(주)모드매니지먼트 MANAGEMENT 및 SCOUTING 부문 신입/경력 채용 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
EHL BIO 업무용 차량 운전원 모집 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
[외국계기업] 조광요턴(주) 대졸 신입사원 채용 ,관계없음,,,학력무관,주 5일 근무,5,,,,,,,,,
